Multiplier Combination,Number of Balls,Hidden Multiplier,Individual Catch Rate,Cumulative Catch Rate,Odds to Not Catch
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",19,0.02,0.05053900390751281,0.4796273754902388,0.9494609960924872
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",20,0.02,0.053065954102888446,0.5072414452988734,0.9469340458971116
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1.7, Ball=1",1,0.02,0.034,0.03400000000000003,0.966
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1.7, Ball=1",2,0.02,0.034,0.06684400000000001,0.966
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1.7, Ball=1",3,0.02,0.034,0.09857130400000003,0.966
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1.7, Ball=1",4,0.02,0.034,0.12921987966400006,0.966
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1.7, Ball=1",5,0.02,0.034,0.15882640375542412,0.966
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1.7, Ball=1",6,0.02,0.034,0.1874263060277397,0.966
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1.7, Ball=1",7,0.02,0.034,0.21505381162279658,0.966
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1.7, Ball=1",8,0.02,0.034,0.24174198202762154,0.966
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1.7, Ball=1",9,0.02,0.034,0.26752275463868247,0.966
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1.7, Ball=1",10,0.02,0.034,0.2924269809809673,0.966
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1.7, Ball=1",11,0.02,0.034,0.3164844636276144,0.966
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1.7, Ball=1",12,0.02,0.034,0.3397239918642755,0.966
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1.7, Ball=1",13,0.02,0.034,0.3621733761408902,0.966
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1.7, Ball=1",14,0.02,0.034,0.3838594813520999,0.966
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1.7, Ball=1",15,0.02,0.034,0.4048082589861285,0.966
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1.7, Ball=1",16,0.02,0.034,0.42504477818060016,0.966
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1.7, Ball=1",17,0.02,0.034,0.4445932557224598,0.966
